sample_idx,fold,real_class,initial_pred,initial_correct,fooled_class,relative_robustness,perturbation_norm,original_norm,pert_norm_logmel,pert_norm_delta,pert_norm_delta2,pert_norm_harmonic,pert_norm_percussive,most_perturbed_channel,num_iterations,success
0,9,car_horn,car_horn,True,dog_bark,0.003350551771003807,42.961978912353516,12822.359375,11.999534606933594,26.176881790161133,23.626422882080078,15.513152122497559,14.752893447875977,Delta,2,True
1,9,jackhammer,jackhammer,True,engine_idling,0.0038082443078880047,9.578640937805176,2515.238037109375,2.7073802947998047,5.854977130889893,4.923095226287842,3.6033806800842285,3.5942270755767822,Delta,3,True
2,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
3,9,dog_bark,dog_bark,True,children_playing,0.002613561295962525,30.022445678710938,11487.1787109375,8.680248260498047,18.28251838684082,15.736144065856934,11.234476089477539,10.85865592956543,Delta,1,True
4,9,dog_bark,dog_bark,True,children_playing,0.0006916843317895865,2.4800209999084473,3585.48095703125,0.6927834749221802,1.594099521636963,1.196662425994873,0.9184479713439941,0.9240421652793884,Delta,1,True
5,9,siren,siren,True,dog_bark,0.003947291293358104,34.74907302856445,8803.2705078125,10.478886604309082,20.475679397583008,18.259052276611328,12.748330116271973,13.51016616821289,Delta,2,True
6,9,air_conditioner,dog_bark,False,dog_bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
7,9,drilling,jackhammer,False,jackhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
8,9,engine_idling,engine_idling,True,siren,0.01397746603082263,32.65680694580078,2336.3896484375,9.600399017333984,18.666152954101562,17.75771713256836,12.516385078430176,12.404749870300293,Delta,1,True
9,9,dog_bark,dog_bark,True,gun_shot,0.0051362176450950765,37.65968322753906,7332.18212890625,10.667471885681152,23.305835723876953,19.218002319335938,14.18304443359375,13.813193321228027,Delta,1,True
10,9,jackhammer,jackhammer,True,engine_idling,0.008550441317429639,16.331649780273438,1910.035888671875,4.602307319641113,10.09264850616455,8.344459533691406,5.9003729820251465,6.263831615447998,Delta,3,True
11,9,drilling,engine_idling,False,engine_idling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
12,9,siren,siren,True,dog_bark,0.013605812658791,58.70102310180664,4314.40771484375,16.743412017822266,35.67426300048828,30.298439025878906,21.4736385345459,22.665010452270508,Delta,2,True
13,9,siren,dog_bark,False,dog_bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
14,9,engine_idling,engine_idling,True,jackhammer,0.015441996112395337,35.69081115722656,2311.2822265625,10.538581848144531,20.853788375854492,18.486173629760742,13.808162689208984,13.98169231414795,Delta,3,True
15,9,children_playing,children_playing,True,dog_bark,0.004350861631405521,25.172780990600586,5785.7001953125,7.096882343292236,15.720722198486328,12.94907283782959,9.194523811340332,9.162116050720215,Delta,1,True
16,9,dog_bark,dog_bark,True,children_playing,0.0032935584090951044,30.667827606201172,9311.45703125,8.151823997497559,20.23149871826172,15.124214172363281,10.793130874633789,10.932353019714355,Delta,5,True
17,9,jackhammer,jackhammer,True,engine_idling,0.003404436416004062,7.718125820159912,2267.078857421875,2.297874927520752,4.6069536209106445,4.001272201538086,2.7937283515930176,3.0414018630981445,Delta,3,True
18,9,air_conditioner,engine_idling,False,engine_idling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
19,9,jackhammer,jackhammer,True,engine_idling,0.004748284764002519,15.527915954589844,3270.2158203125,4.62786340713501,9.39627742767334,8.009771347045898,5.708655834197998,5.887600898742676,Delta,1,True
20,9,children_playing,children_playing,True,dog_bark,0.0022346354744800056,15.668801307678223,7011.79296875,4.213599681854248,9.97940444946289,7.880473613739014,5.809096336364746,5.685147762298584,Delta,3,True
21,9,street_music,street_music,True,children_playing,0.0011917777663613455,6.469952583312988,5428.82470703125,1.7364575862884521,4.06943941116333,3.3869516849517822,2.3671014308929443,2.2825536727905273,Delta,2,True
22,9,gun_shot,dog_bark,False,dog_bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
23,9,drilling,drilling,True,dog_bark,0.0010449099579333968,11.611457824707031,11112.400390625,3.278822183609009,7.161932468414307,6.269467353820801,4.24542236328125,3.9309234619140625,Delta,2,True
24,9,air_conditioner,air_conditioner,True,engine_idling,0.0022358827248367954,7.836453437805176,3504.85888671875,2.3528971672058105,4.63737678527832,3.8880443572998047,3.1116089820861816,3.0934786796569824,Delta,1,True
25,9,dog_bark,dog_bark,True,children_playing,0.012869803646763956,112.51461029052734,8742.52734375,31.263423919677734,74.24849700927734,53.583858489990234,41.616493225097656,39.57440185546875,Delta,1,True
26,9,street_music,street_music,True,children_playing,0.0021845830774730834,9.077210426330566,4155.12255859375,2.357309579849243,5.927074432373047,4.629135608673096,3.2148661613464355,3.1534690856933594,Delta,1,True
27,9,dog_bark,dog_bark,True,children_playing,0.0026034266070745554,30.296924591064453,11637.326171875,8.722993850708008,19.088645935058594,15.163381576538086,11.374252319335938,10.868986129760742,Delta,3,True
28,9,street_music,children_playing,False,children_playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
29,9,drilling,engine_idling,False,engine_idling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
30,9,jackhammer,engine_idling,False,engine_idling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
31,9,street_music,children_playing,False,children_playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
32,9,engine_idling,engine_idling,True,air_conditioner,0.0026993406931350226,16.958772659301758,6282.56103515625,5.078293323516846,10.308114051818848,8.606972694396973,6.167050361633301,6.590993404388428,Delta,1,True
33,9,drilling,jackhammer,False,jackhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
34,9,children_playing,dog_bark,False,dog_bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
35,9,street_music,children_playing,False,children_playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
36,9,engine_idling,engine_idling,True,air_conditioner,0.0021374608197804535,13.482648849487305,6307.78759765625,3.8629276752471924,8.437949180603027,6.76310396194458,4.829455375671387,5.157269477844238,Delta,1,True
37,9,dog_bark,dog_bark,True,children_playing,0.010939501573047971,86.01065063476562,7862.39208984375,24.11678695678711,56.49413299560547,41.18588638305664,31.814002990722656,30.269079208374023,Delta,2,True
38,9,children_playing,children_playing,True,dog_bark,0.001303786747276127,6.133310794830322,4704.228515625,1.7298650741577148,3.8626089096069336,3.059674024581909,2.29172420501709,2.2564830780029297,Delta,3,True
39,9,street_music,street_music,True,engine_idling,0.006317137341693842,16.665584564208984,2638.154541015625,4.463806629180908,10.367815971374512,8.828645706176758,6.082185745239258,5.9486613273620605,Delta,1,True
40,9,jackhammer,jackhammer,True,engine_idling,0.002773411119152253,8.072896003723145,2910.818359375,2.4854238033294678,4.70831823348999,4.270693778991699,3.0125813484191895,3.0840845108032227,Delta,2,True
41,9,dog_bark,dog_bark,True,children_playing,0.0035788263178397396,36.55986022949219,10215.6005859375,10.532747268676758,22.73135757446289,18.286928176879883,13.46968936920166,13.89696979522705,Delta,3,True
42,9,dog_bark,dog_bark,True,children_playing,0.007981516274482686,81.77583312988281,10245.6513671875,23.173124313354492,51.41603088378906,41.1432991027832,31.233295440673828,28.955047607421875,Delta,1,True
43,9,jackhammer,jackhammer,True,engine_idling,0.003307022125351756,10.981184959411621,3320.56591796875,3.1401467323303223,6.6483330726623535,5.762979030609131,4.025781154632568,4.136027812957764,Delta,3,True
44,9,air_conditioner,air_conditioner,True,engine_idling,0.0021176954807658223,7.51169490814209,3547.108154296875,2.1867213249206543,4.601022243499756,3.674922227859497,2.9090447425842285,2.9166440963745117,Delta,1,True
45,9,children_playing,children_playing,True,dog_bark,0.0029169563395696997,20.514263153076172,7032.76318359375,5.740205764770508,12.509191513061523,10.631166458129883,7.735417366027832,7.651585578918457,Delta,3,True
46,9,air_conditioner,children_playing,False,children_playing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
47,9,siren,siren,True,dog_bark,0.017196654539590753,74.20234680175781,4314.92919921875,21.312713623046875,44.7037239074707,38.02388000488281,27.599178314208984,29.08269691467285,Delta,2,True
48,9,engine_idling,engine_idling,True,jackhammer,0.014788634899611755,33.98805236816406,2298.2548828125,10.245139122009277,19.93193244934082,17.41704750061035,13.056116104125977,13.383840560913086,Delta,3,True
49,9,siren,dog_bark,False,dog_bark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
50,9,children_playing,children_playing,True,street_music,0.0028268748070730027,13.280673027038574,4698.00537109375,3.5563597679138184,8.178020477294922,6.915346145629883,4.961160659790039,4.940995693206787,Delta,3,True
51,9,jackhammer,jackhammer,True,engine_idling,0.004026258314647106,8.482419967651367,2106.77490234375,2.415815591812134,5.261153221130371,4.345104217529297,3.0049750804901123,3.2443413734436035,Delta,2,True
52,9,gun_shot,gun_shot,True,dog_bark,0.00459445618579548,53.95498275756836,11743.4970703125,15.713776588439941,32.47611618041992,27.922626495361328,20.54014778137207,20.197734832763672,Delta,1,True
53,9,jackhammer,jackhammer,True,engine_idling,0.00535474812616281,10.447628021240234,1951.0960693359375,3.014674425125122,6.431861877441406,5.380409240722656,3.7627811431884766,3.948225975036621,Delta,2,True
54,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,False
