sample_idx,fold,real_class,initial_pred,initial_correct,fooled_class,relative_robustness,perturbation_norm,original_norm,num_iterations,success
0,9,car_horn,car_horn,True,drilling,0.005311880335081701,33.70744705200195,6345.67138671875,5,True
1,9,jackhammer,jackhammer,True,car_horn,0.051825852829983476,53.39991760253906,1030.3721923828125,3,True
2,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
3,9,dog_bark,dog_bark,True,car_horn,0.0010412998695780327,6.62307596206665,6360.392578125,2,True
4,9,dog_bark,children_playing,False,children_playing,0.0,0.0,0.0,0,False
5,9,siren,siren,True,engine_idling,0.009005664884522807,41.909950256347656,4653.73193359375,1,True
6,9,air_conditioner,dog_bark,False,dog_bark,0.0,0.0,0.0,0,False
7,9,drilling,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
8,9,engine_idling,engine_idling,True,jackhammer,0.0002364933911212571,0.33100685477256775,1399.645263671875,1,True
9,9,dog_bark,dog_bark,True,drilling,0.0015438936927959412,5.937376022338867,3845.715576171875,2,True
10,9,jackhammer,jackhammer,True,drilling,0.0157638767348857,10.846467971801758,688.0584106445312,2,True
11,9,drilling,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
12,9,siren,siren,True,children_playing,0.020443683863920092,42.86656188964844,2096.81201171875,3,True
13,9,siren,siren,True,dog_bark,0.004046612486176891,26.029502868652344,6432.41796875,2,True
14,9,engine_idling,engine_idling,True,jackhammer,0.004852929730089561,6.818905353546143,1405.111083984375,2,True
15,9,children_playing,children_playing,True,siren,0.010782560218518278,31.319931030273438,2904.68408203125,3,True
16,9,dog_bark,dog_bark,True,siren,0.007901503100927175,40.77473449707031,5160.376953125,3,True
17,9,jackhammer,jackhammer,True,drilling,0.010038746567720934,8.97756576538086,894.29150390625,2,True
18,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
19,9,jackhammer,jackhammer,True,car_horn,0.047536685135151295,69.39550018310547,1459.8304443359375,3,True
20,9,children_playing,children_playing,True,siren,0.007176895993847617,25.899316787719727,3608.707275390625,2,True
21,9,street_music,street_music,True,car_horn,0.004940307011261945,13.280021667480469,2688.096435546875,1,True
22,9,gun_shot,gun_shot,True,dog_bark,6.190537029000595e-06,0.0350298248231411,5658.6083984375,2,True
23,9,drilling,drilling,True,dog_bark,0.004395049719026114,26.849897384643555,6109.12255859375,2,True
24,9,air_conditioner,air_conditioner,True,children_playing,0.0038996454763694038,6.530806541442871,1674.718017578125,3,True
25,9,dog_bark,dog_bark,True,gun_shot,0.018665886408938667,80.65740966796875,4321.11328125,3,True
26,9,street_music,street_music,True,car_horn,0.009912410311005648,19.829853057861328,2000.5076904296875,1,True
27,9,dog_bark,dog_bark,True,street_music,0.005846882771346337,36.64698791503906,6267.7822265625,3,True
28,9,street_music,street_music,True,children_playing,0.0032423495306580816,7.108108043670654,2192.270751953125,1,True
29,9,drilling,drilling,True,jackhammer,0.00458694125556549,3.0685248374938965,668.9697265625,1,True
30,9,jackhammer,jackhammer,True,car_horn,0.033199450909613445,36.60712814331055,1102.642578125,3,True
31,9,street_music,street_music,True,children_playing,0.0009488063307646376,3.3347558975219727,3514.685546875,1,True
32,9,engine_idling,engine_idling,True,air_conditioner,0.0028620609218039973,9.322918891906738,3257.41455078125,1,True
33,9,drilling,drilling,True,jackhammer,0.0007721166659429988,1.1000088453292847,1424.6666259765625,1,True
34,9,children_playing,children_playing,True,street_music,0.011526804544540872,25.578449249267578,2219.040771484375,2,True
35,9,street_music,children_playing,False,children_playing,0.0,0.0,0.0,0,False
36,9,engine_idling,engine_idling,True,air_conditioner,0.001962764244666811,6.4201884269714355,3270.9931640625,1,True
37,9,dog_bark,dog_bark,True,children_playing,0.010887313852082388,43.46468734741211,3992.232421875,3,True
38,9,children_playing,children_playing,True,street_music,0.012095165479460436,27.603069305419922,2282.1572265625,3,True
39,9,street_music,street_music,True,car_horn,0.024456981969934947,30.363277435302734,1241.497314453125,1,True
40,9,jackhammer,jackhammer,True,car_horn,0.033949122678103336,41.98823928833008,1236.7989501953125,3,True
41,9,dog_bark,dog_bark,True,car_horn,0.0030732971785868597,17.091312408447266,5561.22998046875,2,True
42,9,dog_bark,dog_bark,True,street_music,0.00537831960579361,28.772274017333984,5349.67724609375,3,True
43,9,jackhammer,jackhammer,True,drilling,0.05130884491819201,76.48043060302734,1490.589599609375,4,True
44,9,air_conditioner,air_conditioner,True,jackhammer,0.00262698682214644,4.463436603546143,1699.07080078125,1,True
45,9,children_playing,children_playing,True,street_music,0.009748893134932572,35.287899017333984,3619.6826171875,2,True
46,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
47,9,siren,siren,True,children_playing,0.02361721366049807,49.5137825012207,2096.512451171875,3,True
48,9,engine_idling,engine_idling,True,jackhammer,0.005479558411078372,7.677900791168213,1401.189697265625,2,True
49,9,siren,siren,True,dog_bark,0.003553556175333025,22.160930633544922,6236.2685546875,1,True
50,9,children_playing,children_playing,True,street_music,0.006267241242462512,14.542458534240723,2320.392333984375,2,True
51,9,jackhammer,jackhammer,True,drilling,0.008914467583081252,7.110895156860352,797.6802978515625,2,True
52,9,gun_shot,gun_shot,True,jackhammer,0.008204077881594636,48.09125900268555,5861.87255859375,2,True
53,9,jackhammer,jackhammer,True,drilling,0.015129849602562468,10.74382495880127,710.1078491210938,2,True
54,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
55,9,siren,siren,True,engine_idling,0.017049645106011792,55.67877960205078,3265.685546875,3,True
56,9,dog_bark,children_playing,False,children_playing,0.0,0.0,0.0,0,False
57,9,jackhammer,jackhammer,True,car_horn,0.05802065135175563,60.22764587402344,1038.0380859375,3,True
58,9,siren,siren,True,engine_idling,0.007483752513799469,39.57916259765625,5288.6787109375,1,True
59,9,air_conditioner,dog_bark,False,dog_bark,0.0,0.0,0.0,0,False
60,9,air_conditioner,dog_bark,False,dog_bark,0.0,0.0,0.0,0,False
61,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
62,9,jackhammer,jackhammer,True,car_horn,0.05553006119810365,56.26610565185547,1013.2548828125,3,True
63,9,siren,siren,True,children_playing,0.02376194322976138,49.4694709777832,2081.878173828125,3,True
64,9,children_playing,children_playing,True,air_conditioner,5.276552463579027e-05,0.23719479143619537,4495.2607421875,1,True
65,9,gun_shot,gun_shot,True,air_conditioner,0.010087235782073913,57.8742790222168,5737.37744140625,4,True
66,9,dog_bark,children_playing,False,children_playing,0.0,0.0,0.0,0,False
67,9,street_music,street_music,True,children_playing,0.005784304372198831,17.163162231445312,2967.195556640625,1,True
68,9,engine_idling,engine_idling,True,jackhammer,0.004742144269498546,6.559009552001953,1383.131591796875,2,True
69,9,jackhammer,jackhammer,True,drilling,0.015294008198859168,11.885892868041992,777.1600952148438,2,True
70,9,children_playing,children_playing,True,street_music,0.010672668714816876,30.828506469726562,2888.547119140625,3,True
71,9,siren,siren,True,dog_bark,0.0038624252451317613,25.701488494873047,6654.23583984375,3,True
72,9,street_music,street_music,True,car_horn,0.023883517741131854,30.725746154785156,1286.4832763671875,1,True
73,9,dog_bark,dog_bark,True,drilling,0.003514782378538852,15.769632339477539,4486.65966796875,2,True
74,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
75,9,jackhammer,jackhammer,True,drilling,0.008456674706242194,10.125144004821777,1197.296142578125,1,True
76,9,street_music,street_music,True,jackhammer,0.0033885780007920224,9.214827537536621,2719.37890625,1,True
77,9,jackhammer,jackhammer,True,engine_idling,0.034928605582021766,59.714054107666016,1709.6031494140625,2,True
78,9,dog_bark,dog_bark,True,car_horn,0.003974794832039388,18.590288162231445,4677.04345703125,2,True
79,9,street_music,street_music,True,children_playing,0.004110541943778348,12.855597496032715,3127.47021484375,1,True
80,9,jackhammer,drilling,False,drilling,0.0,0.0,0.0,0,False
81,9,dog_bark,dog_bark,True,gun_shot,0.017191288345707302,75.72467041015625,4404.828125,3,True
82,9,street_music,street_music,True,car_horn,0.007974767241045335,21.207923889160156,2659.37841796875,1,True
83,9,dog_bark,dog_bark,True,children_playing,0.010104681704854502,45.893890380859375,4541.84423828125,4,True
84,9,jackhammer,jackhammer,True,car_horn,0.03345838446473926,37.80227279663086,1129.82958984375,2,True
85,9,engine_idling,engine_idling,True,jackhammer,0.0012679680029489696,4.240913391113281,3344.6533203125,2,True
86,9,drilling,drilling,True,jackhammer,0.0022310727711335678,2.891360282897949,1295.95068359375,1,True
87,9,engine_idling,engine_idling,True,jackhammer,0.002815902598370288,9.08565616607666,3226.552001953125,1,True
88,9,children_playing,children_playing,True,street_music,0.008222546924121764,19.425859451293945,2362.51123046875,2,True
89,9,children_playing,children_playing,True,street_music,0.00895876633568702,21.32044219970703,2379.84130859375,2,True
90,9,street_music,street_music,True,children_playing,0.002540895819738269,8.771319389343262,3452.057861328125,1,True
91,9,jackhammer,jackhammer,True,car_horn,0.03360545306818102,40.118507385253906,1193.8094482421875,2,True
92,9,jackhammer,drilling,False,drilling,0.0,0.0,0.0,0,False
93,9,street_music,street_music,True,car_horn,0.002533893593860703,7.723900318145752,3048.23388671875,1,True
94,9,gun_shot,gun_shot,True,air_conditioner,0.0018999209159581392,10.524389266967773,5539.3828125,3,True
95,9,dog_bark,dog_bark,True,children_playing,0.009045515563496268,37.24055099487305,4117.01806640625,3,True
96,9,drilling,drilling,True,children_playing,0.004316037709445824,24.001728057861328,5561.05615234375,3,True
97,9,jackhammer,jackhammer,True,engine_idling,0.041401694161586525,62.62501525878906,1512.61962890625,2,True
98,9,street_music,street_music,True,jackhammer,0.0056071833225694355,15.458601951599121,2756.92822265625,1,True
99,9,air_conditioner,air_conditioner,True,children_playing,0.002959141246760981,5.110794544219971,1727.120849609375,3,True
100,9,dog_bark,children_playing,False,children_playing,0.0,0.0,0.0,0,False
101,9,air_conditioner,jackhammer,False,jackhammer,0.0,0.0,0.0,0,False
102,9,jackhammer,jackhammer,True,drilling,0.00467856588143007,6.510616779327393,1391.5838623046875,2,True
103,9,siren,siren,True,dog_bark,0.003401710180906823,23.05550765991211,6777.62255859375,2,True
104,9,siren,siren,True,children_playing,0.022178046597847473,46.39436721801758,2091.905029296875,3,True
